[training@localhost SongDoop]$ hadoop jar src/SongDoop.jar SongDoopDriver 'MillionSongSubset/data/A/G/*' test_out MillionSongSubset/data/A/U/R/TRAURYF128F147805D.song MillionSongSubset/data/A/I/U/TRAIUSY12903CF0C92.song
13/12/27 14:47:05 WARN mapred.JobClient: Use GenericOptionsParser for parsing the arguments. Applications should implement Tool for the same.
13/12/27 14:47:06 INFO input.FileInputFormat: Total input paths to process : 306
13/12/27 14:47:06 INFO mapred.JobClient: Running job: job_201312261955_0009
13/12/27 14:47:07 INFO mapred.JobClient:  map 0% reduce 0%
13/12/27 14:47:18 INFO mapred.JobClient:  map 1% reduce 0%
13/12/27 14:47:26 INFO mapred.JobClient:  map 2% reduce 0%
13/12/27 14:47:30 INFO mapred.JobClient:  map 3% reduce 0%
13/12/27 14:47:38 INFO mapred.JobClient:  map 4% reduce 0%
13/12/27 14:47:42 INFO mapred.JobClient:  map 5% reduce 0%
13/12/27 14:47:52 INFO mapred.JobClient:  map 6% reduce 0%
13/12/27 14:47:53 INFO mapred.JobClient:  map 6% reduce 1%
13/12/27 14:47:56 INFO mapred.JobClient:  map 7% reduce 1%
13/12/27 14:47:59 INFO mapred.JobClient:  map 7% reduce 2%
13/12/27 14:48:03 INFO mapred.JobClient:  map 8% reduce 2%
13/12/27 14:48:07 INFO mapred.JobClient:  map 9% reduce 2%
13/12/27 14:48:08 INFO mapred.JobClient:  map 9% reduce 3%
13/12/27 14:48:15 INFO mapred.JobClient:  map 10% reduce 3%
13/12/27 14:48:19 INFO mapred.JobClient:  map 11% reduce 3%
13/12/27 14:48:26 INFO mapred.JobClient:  map 12% reduce 3%
13/12/27 14:48:29 INFO mapred.JobClient:  map 12% reduce 4%
13/12/27 14:48:30 INFO mapred.JobClient:  map 13% reduce 4%
13/12/27 14:48:38 INFO mapred.JobClient:  map 14% reduce 4%
13/12/27 14:48:41 INFO mapred.JobClient:  map 15% reduce 4%
13/12/27 14:48:44 INFO mapred.JobClient:  map 15% reduce 5%
13/12/27 14:48:50 INFO mapred.JobClient:  map 16% reduce 5%
13/12/27 14:48:58 INFO mapred.JobClient:  map 17% reduce 5%
13/12/27 14:49:02 INFO mapred.JobClient:  map 18% reduce 5%
13/12/27 14:49:08 INFO mapred.JobClient:  map 18% reduce 6%
13/12/27 14:49:09 INFO mapred.JobClient:  map 19% reduce 6%
13/12/27 14:49:13 INFO mapred.JobClient:  map 20% reduce 6%
13/12/27 14:49:21 INFO mapred.JobClient:  map 21% reduce 6%
13/12/27 14:49:24 INFO mapred.JobClient:  map 21% reduce 7%
13/12/27 14:49:25 INFO mapred.JobClient:  map 22% reduce 7%
13/12/27 14:49:34 INFO mapred.JobClient:  map 23% reduce 7%
13/12/27 14:49:37 INFO mapred.JobClient:  map 24% reduce 7%
13/12/27 14:49:39 INFO mapred.JobClient:  map 24% reduce 8%
13/12/27 14:49:45 INFO mapred.JobClient:  map 25% reduce 8%
13/12/27 14:49:49 INFO mapred.JobClient:  map 26% reduce 8%
13/12/27 14:49:57 INFO mapred.JobClient:  map 27% reduce 8%
13/12/27 14:50:00 INFO mapred.JobClient:  map 27% reduce 9%
13/12/27 14:50:01 INFO mapred.JobClient:  map 28% reduce 9%
13/12/27 14:50:09 INFO mapred.JobClient:  map 29% reduce 9%
13/12/27 14:50:13 INFO mapred.JobClient:  map 30% reduce 9%
13/12/27 14:50:15 INFO mapred.JobClient:  map 30% reduce 10%
13/12/27 14:50:20 INFO mapred.JobClient:  map 31% reduce 10%
13/12/27 14:50:25 INFO mapred.JobClient:  map 32% reduce 10%
13/12/27 14:50:32 INFO mapred.JobClient:  map 33% reduce 10%
13/12/27 14:50:33 INFO mapred.JobClient:  map 33% reduce 11%
13/12/27 14:50:42 INFO mapred.JobClient:  map 34% reduce 11%
13/12/27 14:50:47 INFO mapred.JobClient:  map 35% reduce 11%
