[training@localhost SongDoop]$ hadoop jar src/SongDoop.jar SongDoopDriver 'MillionSongSubset/data/A/G/*' test_out MillionSongSubset/data/A/U/R/TRAURYF128F147805D.song MillionSongSubset/data/A/I/U/TRAIUSY12903CF0C92.song
13/12/27 15:33:27 WARN mapred.JobClient: Use GenericOptionsParser for parsing the arguments. Applications should implement Tool for the same.
13/12/27 15:33:27 INFO input.FileInputFormat: Total input paths to process : 306
13/12/27 15:33:28 INFO mapred.JobClient: Running job: job_201312261955_0010
13/12/27 15:33:29 INFO mapred.JobClient:  map 0% reduce 0%
13/12/27 15:33:41 INFO mapred.JobClient:  map 1% reduce 0%
13/12/27 15:33:49 INFO mapred.JobClient:  map 2% reduce 0%
13/12/27 15:33:53 INFO mapred.JobClient:  map 3% reduce 0%
13/12/27 15:34:00 INFO mapred.JobClient:  map 4% reduce 0%
13/12/27 15:34:05 INFO mapred.JobClient:  map 5% reduce 0%
13/12/27 15:34:15 INFO mapred.JobClient:  map 6% reduce 1%
13/12/27 15:34:18 INFO mapred.JobClient:  map 6% reduce 2%
13/12/27 15:34:19 INFO mapred.JobClient:  map 7% reduce 2%
13/12/27 15:34:27 INFO mapred.JobClient:  map 8% reduce 2%
13/12/27 15:34:32 INFO mapred.JobClient:  map 9% reduce 2%
13/12/27 15:34:33 INFO mapred.JobClient:  map 9% reduce 3%
13/12/27 15:34:39 INFO mapred.JobClient:  map 10% reduce 3%
13/12/27 15:34:43 INFO mapred.JobClient:  map 11% reduce 3%
13/12/27 15:34:51 INFO mapred.JobClient:  map 12% reduce 3%
13/12/27 15:34:55 INFO mapred.JobClient:  map 13% reduce 3%
13/12/27 15:34:57 INFO mapred.JobClient:  map 13% reduce 4%
13/12/27 15:35:03 INFO mapred.JobClient:  map 14% reduce 4%
13/12/27 15:35:07 INFO mapred.JobClient:  map 15% reduce 4%
13/12/27 15:35:10 INFO mapred.JobClient:  map 15% reduce 5%
13/12/27 15:35:16 INFO mapred.JobClient:  map 16% reduce 5%
13/12/27 15:35:24 INFO mapred.JobClient:  map 17% reduce 5%
13/12/27 15:35:28 INFO mapred.JobClient:  map 18% reduce 5%
13/12/27 15:35:35 INFO mapred.JobClient:  map 18% reduce 6%
13/12/27 15:35:37 INFO mapred.JobClient:  map 19% reduce 6%
13/12/27 15:35:41 INFO mapred.JobClient:  map 20% reduce 6%
13/12/27 15:35:49 INFO mapred.JobClient:  map 21% reduce 6%
13/12/27 15:35:50 INFO mapred.JobClient:  map 21% reduce 7%
13/12/27 15:35:53 INFO mapred.JobClient:  map 22% reduce 7%
13/12/27 15:36:01 INFO mapred.JobClient:  map 23% reduce 7%
13/12/27 15:36:05 INFO mapred.JobClient:  map 24% reduce 7%
13/12/27 15:36:11 INFO mapred.JobClient:  map 24% reduce 8%
13/12/27 15:36:12 INFO mapred.JobClient:  map 25% reduce 8%
13/12/27 15:36:17 INFO mapred.JobClient:  map 26% reduce 8%
13/12/27 15:36:24 INFO mapred.JobClient:  map 27% reduce 8%
13/12/27 15:36:26 INFO mapred.JobClient:  map 27% reduce 9%
13/12/27 15:36:29 INFO mapred.JobClient:  map 28% reduce 9%
13/12/27 15:36:36 INFO mapred.JobClient:  map 29% reduce 9%
13/12/27 15:36:41 INFO mapred.JobClient:  map 30% reduce 10%
13/12/27 15:36:48 INFO mapred.JobClient:  map 31% reduce 10%
13/12/27 15:36:52 INFO mapred.JobClient:  map 32% reduce 10%
13/12/27 15:36:59 INFO mapred.JobClient:  map 33% reduce 10%
13/12/27 15:37:02 INFO mapred.JobClient:  map 33% reduce 11%
13/12/27 15:37:07 INFO mapred.JobClient:  map 34% reduce 11%
13/12/27 15:37:12 INFO mapred.JobClient:  map 35% reduce 11%
13/12/27 15:37:19 INFO mapred.JobClient:  map 36% reduce 11%
13/12/27 15:37:21 INFO mapred.JobClient:  map 36% reduce 12%
13/12/27 15:37:23 INFO mapred.JobClient:  map 37% reduce 12%
13/12/27 15:37:31 INFO mapred.JobClient:  map 38% reduce 12%
13/12/27 15:37:36 INFO mapred.JobClient:  map 39% reduce 12%
13/12/27 15:37:42 INFO mapred.JobClient:  map 39% reduce 13%
13/12/27 15:37:43 INFO mapred.JobClient:  map 40% reduce 13%
13/12/27 15:37:48 INFO mapred.JobClient:  map 41% reduce 13%
13/12/27 15:37:55 INFO mapred.JobClient:  map 42% reduce 13%
13/12/27 15:37:57 INFO mapred.JobClient:  map 42% reduce 14%
13/12/27 15:38:00 INFO mapred.JobClient:  map 43% reduce 14%
13/12/27 15:38:07 INFO mapred.JobClient:  map 44% reduce 14%
13/12/27 15:38:11 INFO mapred.JobClient:  map 45% reduce 14%
13/12/27 15:38:15 INFO mapred.JobClient:  map 45% reduce 15%
13/12/27 15:38:18 INFO mapred.JobClient:  map 46% reduce 15%
13/12/27 15:38:23 INFO mapred.JobClient:  map 47% reduce 15%
13/12/27 15:38:30 INFO mapred.JobClient:  map 48% reduce 15%
13/12/27 15:38:33 INFO mapred.JobClient:  map 48% reduce 16%
13/12/27 15:38:35 INFO mapred.JobClient:  map 49% reduce 16%
13/12/27 15:38:42 INFO mapred.JobClient:  map 50% reduce 16%
13/12/27 15:38:50 INFO mapred.JobClient:  map 51% reduce 16%
13/12/27 15:38:51 INFO mapred.JobClient:  map 51% reduce 17%
13/12/27 15:38:55 INFO mapred.JobClient:  map 52% reduce 17%
13/12/27 15:39:02 INFO mapred.JobClient:  map 53% reduce 17%
13/12/27 15:39:07 INFO mapred.JobClient:  map 54% reduce 17%
13/12/27 15:39:13 INFO mapred.JobClient:  map 54% reduce 18%
13/12/27 15:39:16 INFO mapred.JobClient:  map 55% reduce 18%
13/12/27 15:39:20 INFO mapred.JobClient:  map 56% reduce 18%
13/12/27 15:39:28 INFO mapred.JobClient:  map 57% reduce 18%
13/12/27 15:39:31 INFO mapred.JobClient:  map 57% reduce 19%
13/12/27 15:39:33 INFO mapred.JobClient:  map 58% reduce 19%
13/12/27 15:39:42 INFO mapred.JobClient:  map 59% reduce 19%
13/12/27 15:39:46 INFO mapred.JobClient:  map 60% reduce 19%
13/12/27 15:39:52 INFO mapred.JobClient:  map 60% reduce 20%
13/12/27 15:39:54 INFO mapred.JobClient:  map 61% reduce 20%
13/12/27 15:39:59 INFO mapred.JobClient:  map 62% reduce 20%
13/12/27 15:40:07 INFO mapred.JobClient:  map 63% reduce 20%
13/12/27 15:40:10 INFO mapred.JobClient:  map 63% reduce 21%
13/12/27 15:40:12 INFO mapred.JobClient:  map 64% reduce 21%
13/12/27 15:40:20 INFO mapred.JobClient:  map 65% reduce 21%
13/12/27 15:40:24 INFO mapred.JobClient:  map 66% reduce 21%
13/12/27 15:40:25 INFO mapred.JobClient:  map 66% reduce 22%
13/12/27 15:40:32 INFO mapred.JobClient:  map 67% reduce 22%
13/12/27 15:40:40 INFO mapred.JobClient:  map 68% reduce 22%
13/12/27 15:40:44 INFO mapred.JobClient:  map 69% reduce 22%
13/12/27 15:40:46 INFO mapred.JobClient:  map 69% reduce 23%
13/12/27 15:40:53 INFO mapred.JobClient:  map 70% reduce 23%
13/12/27 15:40:57 INFO mapred.JobClient:  map 71% reduce 23%
13/12/27 15:41:05 INFO mapred.JobClient:  map 72% reduce 23%
13/12/27 15:41:07 INFO mapred.JobClient:  map 72% reduce 24%
13/12/27 15:41:10 INFO mapred.JobClient:  map 73% reduce 24%
13/12/27 15:41:18 INFO mapred.JobClient:  map 74% reduce 24%
13/12/27 15:41:22 INFO mapred.JobClient:  map 75% reduce 24%
13/12/27 15:41:23 INFO mapred.JobClient:  map 75% reduce 25%
13/12/27 15:41:30 INFO mapred.JobClient:  map 76% reduce 25%
13/12/27 15:41:34 INFO mapred.JobClient:  map 77% reduce 25%
13/12/27 15:41:42 INFO mapred.JobClient:  map 78% reduce 25%
13/12/27 15:41:44 INFO mapred.JobClient:  map 78% reduce 26%
13/12/27 15:41:47 INFO mapred.JobClient:  map 79% reduce 26%
13/12/27 15:41:56 INFO mapred.JobClient:  map 80% reduce 26%
13/12/27 15:42:01 INFO mapred.JobClient:  map 81% reduce 26%
13/12/27 15:42:02 INFO mapred.JobClient:  map 81% reduce 27%
13/12/27 15:42:09 INFO mapred.JobClient:  map 82% reduce 27%
13/12/27 15:42:13 INFO mapred.JobClient:  map 83% reduce 27%
13/12/27 15:42:21 INFO mapred.JobClient:  map 84% reduce 27%
13/12/27 15:42:23 INFO mapred.JobClient:  map 84% reduce 28%
13/12/27 15:42:29 INFO mapred.JobClient:  map 85% reduce 28%
13/12/27 15:42:34 INFO mapred.JobClient:  map 86% reduce 28%
13/12/27 15:42:42 INFO mapred.JobClient:  map 87% reduce 28%
13/12/27 15:42:44 INFO mapred.JobClient:  map 87% reduce 29%
13/12/27 15:42:46 INFO mapred.JobClient:  map 88% reduce 29%
13/12/27 15:42:54 INFO mapred.JobClient:  map 89% reduce 29%
13/12/27 15:42:58 INFO mapred.JobClient:  map 90% reduce 29%
13/12/27 15:43:05 INFO mapred.JobClient:  map 90% reduce 30%
13/12/27 15:43:07 INFO mapred.JobClient:  map 91% reduce 30%
13/12/27 15:43:11 INFO mapred.JobClient:  map 92% reduce 30%
13/12/27 15:43:19 INFO mapred.JobClient:  map 93% reduce 30%
13/12/27 15:43:20 INFO mapred.JobClient:  map 93% reduce 31%
13/12/27 15:43:23 INFO mapred.JobClient:  map 94% reduce 31%
13/12/27 15:43:32 INFO mapred.JobClient:  map 95% reduce 31%
13/12/27 15:43:36 INFO mapred.JobClient:  map 96% reduce 31%
13/12/27 15:43:41 INFO mapred.JobClient:  map 96% reduce 32%
13/12/27 15:43:44 INFO mapred.JobClient:  map 97% reduce 32%
13/12/27 15:43:48 INFO mapred.JobClient:  map 98% reduce 32%
13/12/27 15:43:55 INFO mapred.JobClient:  map 99% reduce 32%
13/12/27 15:43:57 INFO mapred.JobClient:  map 99% reduce 33%
13/12/27 15:44:00 INFO mapred.JobClient:  map 100% reduce 33%
13/12/27 15:44:05 INFO mapred.JobClient:  map 100% reduce 100%
13/12/27 15:44:06 INFO mapred.JobClient: Job complete: job_201312261955_0010
13/12/27 15:44:06 INFO mapred.JobClient: Counters: 32
13/12/27 15:44:06 INFO mapred.JobClient:   File System Counters
13/12/27 15:44:07 INFO mapred.JobClient:     FILE: Number of bytes read=40599
13/12/27 15:44:07 INFO mapred.JobClient:     FILE: Number of bytes written=56649658
13/12/27 15:44:07 INFO mapred.JobClient:     FILE: Number of read operations=0
13/12/27 15:44:07 INFO mapred.JobClient:     FILE: Number of large read operations=0
13/12/27 15:44:07 INFO mapred.JobClient:     FILE: Number of write operations=0
13/12/27 15:44:07 INFO mapred.JobClient:     HDFS: Number of bytes read=2358911
13/12/27 15:44:07 INFO mapred.JobClient:     HDFS: Number of bytes written=3994
13/12/27 15:44:07 INFO mapred.JobClient:     HDFS: Number of read operations=918
13/12/27 15:44:07 INFO mapred.JobClient:     HDFS: Number of large read operations=0
13/12/27 15:44:07 INFO mapred.JobClient:     HDFS: Number of write operations=1
13/12/27 15:44:07 INFO mapred.JobClient:   Job Counters 
13/12/27 15:44:07 INFO mapred.JobClient:     Launched map tasks=306
13/12/27 15:44:07 INFO mapred.JobClient:     Launched reduce tasks=1
13/12/27 15:44:07 INFO mapred.JobClient:     Data-local map tasks=306
13/12/27 15:44:07 INFO mapred.JobClient:     Total time spent by all maps in occupied slots (ms)=1209552
13/12/27 15:44:07 INFO mapred.JobClient:     Total time spent by all reduces in occupied slots (ms)=600603
13/12/27 15:44:07 INFO mapred.JobClient:     Total time spent by all maps waiting after reserving slots (ms)=0
13/12/27 15:44:07 INFO mapred.JobClient:     Total time spent by all reduces waiting after reserving slots (ms)=0
13/12/27 15:44:07 INFO mapred.JobClient:   Map-Reduce Framework
13/12/27 15:44:07 INFO mapred.JobClient:     Map input records=306
13/12/27 15:44:07 INFO mapred.JobClient:     Map output records=306
13/12/27 15:44:07 INFO mapred.JobClient:     Map output bytes=39864
